tag,animal_project_code,utcReleaseDateTime,scientificName,commonName,captureLocation,personId,animalId,estTagLife,endDateTag,catchedDateTime,captureLatitude,captureLongitude,captureDepth,recaptureDate,releaseLocation,releaseLatitude,releaseLongitude,lifeStage,wildOrHatchery,length,lengthType,lengthUnits,length2,length2Type,length2Units,length3,length3Type,length3Units,length4,length4Type,length4Units,weight,weightUnits,comments,projectmember,captureMethod,sex,surgeryLatitude,surgeryLongitude,surgeryLocation,dateOfSurgery,idPk,aphiaId,externalId,sensorReadings,retrievalDevice
S256-16,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52840,105923,LESPUR-16,,
S256-17,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52841,105923,LESPUR-17,,
S256-18,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52842,105923,LESPUR-18,,
S256-19,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52843,105923,LESPUR-19,,
R64K-2,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52844,105923,LESPUR-2,,
S256-20,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52845,105923,LESPUR-20,,
R64K-242,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52846,105923,LESPUR-242,,
R64K-247,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52847,105923,LESPUR-247,,
R64K-3,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52848,105923,LESPUR-3,,
R64K-4,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52849,105923,LESPUR-4,,
R64K-5,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52850,105923,LESPUR-5,,
S256-542,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52851,105923,LESPUR-542,,
S256-564,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52852,105923,LESPUR-564,,
R64K-6,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52853,105923,LESPUR-6,,
R64K-7,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52854,105923,LESPUR-7,,
R64K-8,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52855,105923,LESPUR-8,,
R64K-9,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52856,105923,LESPUR-9,,
